Ano;IdUrg;URG;Escola;DtInicio;DtFechamento;QtdAlunoEscola;QtdAluno;QtdProfessor;QtdPsicologo;QtdAssistSocial;QtdEnfermagem;QtdMedico;QtdVacinacao;QtdVacina;QtdEncaminhamento;QtdExame
2024;5;URG V-KM 32;CIEP BRIZOLAO 360 PROF IARA SIMÃO VIEIRA;30/09/2024;04/10/2024;656;491;438;9;429;458;174;107;121;67;67
2024;5;URG V-KM 32;CIEP BRIZOLAO 373 BRIGADEIRO TEIXEIRA;26/08/2024;28/08/2024;512;403;364;165;347;356;118;75;89;33;33
2024;5;URG V-KM 32;E M ALFREDO JOSE SOARES;29/08/2024;30/08/2024;399;370;346;166;288;294;196;122;141;70;72
2024;5;URG V-KM 32;E M ALFREDO PEREIRA DE MAGALHAES;02/09/2024;05/09/2024;951;820;723;298;671;676;239;136;170;63;40
2024;5;URG V-KM 32;E M ERYK DA CRUZ LAIA;07/10/2024;08/10/2024;673;400;342;130;341;360;202;120;154;58;39
2024;5;URG V-KM 32;E M JOSE REIS;19/08/2024;21/08/2024;480;393;370;144;356;355;157;102;134;27;21
2024;5;URG V-KM 32;E M PERA FLOR;12/08/2024;16/08/2024;917;769;663;587;669;712;365;223;267;109;98
2024;5;URG V-KM 32;E M PROF AIMEE CARREIRO FIGUEIREDO;09/12/2024;10/12/2024;355;253;214;6;230;232;108;84;108;64;46
2024;5;URG V-KM 32;E M PROF CREUZA ALARCAO SOBRAL;04/09/2024;05/09/2024;394;351;322;181;291;291;220;82;85;57;65
2024;5;URG V-KM 32;E M PROF LEONARDO CARIELO DE ALMEIDA;10/10/2024;11/10/2024;608;448;382;11;347;388;194;113;125;25;29
2024;5;URG V-KM 32;E M PROF MARLY TUPACINUNGA DE MATTOS;26/08/2024;28/08/2024;498;412;359;230;354;365;100;62;68;29;34
2024;5;URG V-KM 32;E M PROF PRISCILLA BOUCAS VILLA NOVA;22/08/2024;27/08/2024;521;428;409;197;311;350;203;123;156;53;42
2024;5;URG V-KM 32;E M SHANGRI LA;22/08/2024;23/08/2024;326;270;245;112;223;244;120;78;100;22;18
2024;5;URG V-KM 32;E M VILA JOAO CORREA;29/08/2024;30/08/2024;461;389;364;363;344;368;150;91;115;24;24
2024;5;URG V-KM 32;EMEI HELIO MONTEZANO DE OLIVEIRA;11/10/2024;11/10/2024;110;81;78;0;78;80;74;34;44;15;30
2024;5;URG V-KM 32;EMEI JARDIM EUROPA;16/08/2024;16/08/2024;135;99;89;0;86;93;84;47;55;3;8
2024;5;URG V-KM 32;EMEI NISIA SOUZA MARCONDES;10/10/2024;11/10/2024;109;59;56;51;52;58;43;22;24;18;16
2024;5;URG V-KM 32;EMEI PATRICIA M GASPAR SOMMA PEREIRA;02/12/2024;02/12/2024;92;52;51;4;42;47;41;18;25;33;16
2024;6;URG VI-AUSTIN;CRECHE MUNICIPAL PROF.CARLOS ALBERTO HORTA AVELINO;12/12/2024;12/12/2024;80;31;21;4;24;31;30;8;16;3;4
2024;6;URG VI-AUSTIN;E M ALTHAIR PIMENTA DE MORAES;07/06/2024;11/06/2024;838;772;691;608;595;602;399;261;307;131;162
2024;6;URG VI-AUSTIN;E M DR JOSE BRIGAGAO FERREIRA;06/06/2024;10/06/2024;284;268;252;233;222;240;155;120;172;31;34
2024;6;URG VI-AUSTIN;E M DR ODIR ARAUJO;23/05/2024;24/05/2024;220;199;172;182;179;184;138;79;85;33;41
2024;6;URG VI-AUSTIN;E M GOVERNADOR LEONEL DE MOURA BRIZOLA;17/06/2024;19/06/2024;1052;957;840;677;687;610;217;132;181;81;76
2024;6;URG VI-AUSTIN;E M JOSE DE ANCHIETA;24/05/2024;24/05/2024;258;222;214;0;206;178;116;58;63;6;33
2024;6;URG VI-AUSTIN;E M JOSE LUIZ DA SILVA;04/06/2024;05/06/2024;462;390;364;333;321;358;195;147;194;42;41
2024;6;URG VI-AUSTIN;E M KERMA MOREIRA FRANCO;11/06/2024;12/06/2024;859;716;473;590;604;572;242;162;201;109;101
2024;6;URG VI-AUSTIN;E M NENA RODRIGUES;21/05/2024;22/05/2024;317;238;210;205;200;204;147;101;117;76;60
2024;6;URG VI-AUSTIN;E M PROF ENILZA BARROS DOS SANTOS CHICONELLI;03/06/2024;06/06/2024;1020;868;691;716;709;687;293;160;176;120;96
2024;6;URG VI-AUSTIN;E M PROF FRANKLIN BOLIVAR FERNANDES;23/05/2024;24/05/2024;542;444;323;369;371;400;245;174;221;53;35
2024;6;URG VI-AUSTIN;E M PROF MARCIO CAULINO SOARES;27/05/2024;29/05/2024;770;700;565;602;605;624;322;238;253;161;147
2024;6;URG VI-AUSTIN;E M RUI BARBOSA;21/05/2024;23/05/2024;450;366;347;295;307;313;168;120;250;73;64
2024;6;URG VI-AUSTIN;E M WALFREDO DA SILVA LESSA;07/06/2024;10/06/2024;637;518;482;436;477;460;201;145;203;16;32
