URG;Escola;Consulta;2022;2023;2024;2025;Total
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;OFTALMOLOGISTA;0;1;0;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;NEUROLOGISTA;0;4;1;1;6
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;CIRURGIÃO;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;PSICOLOGIA;0;3;0;2;5
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;OTORRINOLARINGOLOGISTA;0;0;1;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;CARDIOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;UROLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ENDOCRINOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;PSIQUIATRA;0;0;1;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;NUTRIÇÃO;0;2;0;0;2
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;DENTISTA;0;4;0;0;4
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;FONOAUDIÓLOGA;0;5;0;1;6
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;GASTROENTEROLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;PNEUMOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;TERAPIA OCUPACIONAL;0;3;0;1;4
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;DERMATOLOGISTA;0;1;0;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;PEDIATRA;0;2;0;1;3
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ALERGISTA;0;3;1;1;5
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ORTOPEDISTA;0;1;0;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;OFTALMOLOGISTA;0;1;1;0;2
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;NEUROLOGISTA;0;0;0;1;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;CIRURGIÃO;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;PSICOLOGIA;0;2;2;0;4
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;OTORRINOLARINGOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;CARDIOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;UROLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ENDOCRINOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;PSIQUIATRA;0;1;0;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;NUTRIÇÃO;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;DENTISTA;0;3;1;1;5
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;FONOAUDIÓLOGA;0;2;1;0;3
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;GASTROENTEROLOGISTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;PNEUMOLOGISTA;0;0;0;1;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;TERAPIA OCUPACIONAL;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;DERMATOLOGISTA;0;2;0;0;2
URG I-CENTRO;E M CAPISTRANO DE ABREU;PEDIATRA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;ALERGISTA;0;3;1;0;4
URG I-CENTRO;E M CAPISTRANO DE ABREU;ORTOPEDISTA;0;2;1;0;3
URG I-CENTRO;E M CAPISTRANO DE ABREU;OFTALMOLOGISTA;0;9;2;0;11
URG I-CENTRO;E M CAPISTRANO DE ABREU;NEUROLOGISTA;0;1;4;0;5
URG I-CENTRO;E M CAPISTRANO DE ABREU;CIRURGIÃO;0;1;0;0;1
URG I-CENTRO;E M CAPISTRANO DE ABREU;PSICOLOGIA;0;12;4;0;16
URG I-CENTRO;E M CAPISTRANO DE ABREU;OTORRINOLARINGOLOGISTA;0;3;2;0;5
URG I-CENTRO;E M CAPISTRANO DE ABREU;CARDIOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;UROLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;ENDOCRINOLOGISTA;0;0;1;1;2
URG I-CENTRO;E M CAPISTRANO DE ABREU;PSIQUIATRA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;INFECTOLOGISTA;0;0;0;0;0
