URG;Descricao;2022;2023;2024;2025;Total
URG VII-VILA DE CAVA;AVAL. PSCÓLOGOS;147;3535;3192;454;8952
URG VII-VILA DE CAVA;AVAL. ASSIST. SOCIAIS;189;3593;3349;3137;11686
URG VII-VILA DE CAVA;AVAL. ENFERMAGEM;207;3770;3523;3309;12555
URG VII-VILA DE CAVA;AVAL. MÉDICAS;120;2112;1775;1413;6125
URG VII-VILA DE CAVA;ALUNOS VACINADOS;44;1022;847;426;2499
URG VII-VILA DE CAVA;VACINAS APLICADAS;71;1117;1125;511;3088
URG VII-VILA DE CAVA;ENCAMINHAMENTOS;40;867;494;635;2559
URG VII-VILA DE CAVA;EXAMES;47;639;524;437;2017
URG V-KM 32;ALUNOS CADASTRADOS;10525;10154;9930;10434;41043
URG V-KM 32;ALUNOS ATENDIDOS;0;7943;7828;8726;24497
URG V-KM 32;AVAL. PROFESSORES;0;6903;7003;7904;21810
URG V-KM 32;AVAL. PSCÓLOGOS;0;6949;3274;743;10966
URG V-KM 32;AVAL. ASSIST. SOCIAIS;0;6889;6583;6822;20294
URG V-KM 32;AVAL. ENFERMAGEM;0;7160;6852;7134;21146
URG V-KM 32;AVAL. MÉDICAS;0;3944;3357;2846;10147
URG V-KM 32;ALUNOS VACINADOS;0;2634;1925;1829;6388
URG V-KM 32;VACINAS APLICADAS;0;2975;2304;2289;7568
URG V-KM 32;ENCAMINHAMENTOS;0;1509;1052;1121;3682
URG V-KM 32;EXAMES;0;1262;902;801;2965
