URG;Escola;Exame;2022;2023;2024;2025;Total
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;RAIO X;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;EXAME LABORATORIAL;0;67;11;7;85
URG I-CENTRO;E M CAPISTRANO DE ABREU;ULTRASSOM;0;1;0;0;1
URG I-CENTRO;E M CAPISTRANO DE ABREU;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;MAMOGRAFIA;0;0;1;1;2
URG I-CENTRO;E M CAPISTRANO DE ABREU;ELETROCARDIOGRAMA;0;1;0;0;1
URG I-CENTRO;E M CAPISTRANO DE ABREU;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;RAIO X;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;EXAME LABORATORIAL;0;11;11;45;67
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ULTRASSOM;0;1;0;3;4
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ELETROCARDIOGRAMA;0;0;0;3;3
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;RAIO X;0;0;0;1;1
URG I-CENTRO;E M DR RUBENS FALCAO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;EXAME LABORATORIAL;0;38;0;71;109
URG I-CENTRO;E M DR RUBENS FALCAO;ULTRASSOM;0;2;0;0;2
URG I-CENTRO;E M DR RUBENS FALCAO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;MAMOGRAFIA;0;0;0;1;1
URG I-CENTRO;E M DR RUBENS FALCAO;ELETROCARDIOGRAMA;0;0;0;3;3
URG I-CENTRO;E M DR RUBENS FALCAO;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;RAIO X;0;0;0;1;1
URG I-CENTRO;E M DR THIBAU;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;EXAME LABORATORIAL;0;7;13;18;38
URG I-CENTRO;E M DR THIBAU;ULTRASSOM;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;TOMOGRAFIA;0;0;1;0;1
URG I-CENTRO;E M DR THIBAU;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;RAIO X;0;0;1;0;1
URG I-CENTRO;E M ENGENHO PEQUENO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;EXAME LABORATORIAL;0;24;32;78;134
URG I-CENTRO;E M ENGENHO PEQUENO;ULTRASSOM;0;0;1;4;5
URG I-CENTRO;E M ENGENHO PEQUENO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;ELETROCARDIOGRAMA;0;0;0;3;3
URG I-CENTRO;E M ENGENHO PEQUENO;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;RAIO X;0;0;0;1;1
URG I-CENTRO;E M FRANCA CARVALHO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;EXAME LABORATORIAL;0;29;20;37;86
URG I-CENTRO;E M FRANCA CARVALHO;ULTRASSOM;0;1;1;0;2
URG I-CENTRO;E M FRANCA CARVALHO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;ELETROCARDIOGRAMA;0;1;0;0;1
URG I-CENTRO;E M FRANCA CARVALHO;ECOCARDIOGRAMA;0;1;1;1;3
URG I-CENTRO;E M FRANCA CARVALHO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;RAIO X;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;EXAME LABORATORIAL;0;9;4;28;41
URG I-CENTRO;E M HEITOR DANTAS;ULTRASSOM;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;RAIO X;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;E M JANICI FERREIRA MAIA ;EXAME LABORATORIAL;0;32;30;36;98
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ULTRASSOM;0;0;4;1;5
